alpha_gluon beta_gluon alpha_up beta_up epsilon_up gamma_up alpha_down beta_down epsilon_down gamma_down norm_sigma alpha_sigma beta_sigma
1.344161553856962232e+00 9.100694835776980407e-02 2.688138134726521855e+00 1.126031890196995677e+00 5.444157787612996513e-01 8.131908342315448124e-01 1.008692520858448960e+00 1.224057048565337258e+00 1.493340736958611803e+00 1.417201372934771664e+00 1.534035785704491062e+00 9.447658983518840703e-01 9.000377105150930701e-01
1.196825715745680530e+00 2.281776014219933368e-01 1.090225422407956613e+00 1.479326755648291414e+00 1.792627078982378386e+00 3.944337804227819322e-01 2.880040762412398703e+00 6.710385367519686728e-01 2.441914657804722832e+00 1.471080687145742916e+00 1.458769930203596799e+00 1.101368673014266220e+00 1.618648432453526353e-01
1.354170380175413246e+00 1.437957858023081736e-01 1.426445175454370107e+00 1.331285381397193435e+00 7.065798956867657132e-01 1.220261217674256216e+00 4.514909929580050441e-01 7.675249057951875065e-01 3.093582112838837439e+00 4.352691985531564889e-03 8.088569769879826454e-01 2.050883778565121274e-02 1.810540401667359633e+00
1.467959883594847303e+00 1.275250323415698939e-01 1.389232765602912867e+00 2.478109324310907802e+00 8.965576841376587947e-01 2.592390200124436550e+00 3.003846047792630092e+00 1.842477862544015021e+00 2.188683007679011361e+00 2.922709328318126243e+00 2.608146456413292791e-01 8.941054901277847300e-01 2.628465249326827013e+00
1.307340983693208614e+00 1.300245370342335838e-01 9.330697601169661848e-01 2.124136793052768368e+00 3.122490660090364134e+00 5.451700137123869361e-01 1.883064662967368630e+00 3.248157531107125351e+00 1.278011938505840828e+00 1.304857842065736406e+00 2.096569654901346613e+00 2.253314801071625517e+00 2.346655626881890999e+00
1.541601480036970395e+00 7.250367916196069629e-02 2.144887377179477639e+00 3.003279123833741959e+00 7.945216964428533091e-01 2.938609127359512185e-01 8.617310498052735968e-01 8.022580490632689187e-01 1.207397952582783818e+00 1.025473717229176268e-01 3.327229280924112853e+00 7.453657904279051838e-01 3.605970953743609653e-01
1.637179670149026656e+00 9.482685785854462479e-02 2.831386533818274209e+00 3.110264452110462763e+00 9.788773195352550305e-01 5.912751421848334576e-01 1.537905662661177342e+00 6.074685327425443093e-01 2.823767881412116321e+00 1.901999775635485834e+00 1.661814900968782219e-02 2.537702957379146973e+00 6.005473166678301222e-01
1.218132927996308457e+00 1.617166718568643635e-01 2.721923175959259922e+00 5.849645554415425774e-01 2.148822278161236721e+00 4.563154780330878069e-01 2.344422073594271794e+00 2.114394996531821391e+00 3.341881013962222813e+00 9.923555555277147056e-01 3.397493301554089129e+00 1.055323128090264406e+00 2.353077534202234755e+00
1.226125692839701964e+00 1.103536065148496143e-01 2.870363570976395717e+00 2.568610092987393401e+00 1.508276728862864235e+00 1.101755979979463840e+00 1.287671295069314770e+00 7.899328493234665238e-01 5.307025722093602349e-01 2.707469405441175869e+00 1.381750675248573534e+00 2.464741472859103055e+00 2.856200284743494411e+00
1.171574330577912937e+00 1.970919774853674145e-01 7.625383269957962673e-01 3.294126422002386700e+00 1.802771736314704665e+00 2.112271494980041187e+00 1.025627633896543989e+00 2.067035387632646160e+00 1.950726163244824063e+00 1.725294487784642117e+00 3.112304369551913030e+00 2.774903348531598812e+00 2.743828690686261229e+00
1.280470705042259016e+00 1.481404103346532497e-01 1.076985627965611814e+00 3.148067619929938665e+00 1.359063063328579180e+00 3.087746564748922395e+00 4.124059995922697563e-01 1.787839069737850561e+00 4.625159508608437942e-01 2.310993922535564682e+00 9.458738875550950498e-01 3.330673615402520937e+00 5.422150931041527094e-02
1.076435738906348583e+00 1.173735913715058254e-01 2.806116180143614525e+00 2.685810461533172600e+00 2.473767253384408615e+00 2.905581238300091407e+00 1.719245864473603946e+00 3.148261264439963902e+00 1.646515092747936171e+00 2.307847994529732993e+00 1.358121861084296222e+00 6.995038445460717291e-01 2.079382171604684526e+00
1.420344096472581974e+00 1.318750832443256193e-01 6.619178049925015239e-01 1.027788393379848592e-01 1.517001337438022013e-01 2.877541291201304308e+00 3.067174999404139513e+00 1.415137741110775949e+00 2.227556620962234391e+00 8.239007238482388695e-01 1.902951736889979317e+00 6.691186369986238391e-01 2.326171417671353492e+00
1.289696289405551255e+00 1.159310088903799385e-01 2.001651245919733757e+00 2.927541879407405734e+00 1.370062106296483950e+00 4.632907055452086253e-01 1.333732185939807025e+00 1.238085902234832503e+00 5.021131199561471581e-01 2.644269307895600551e+00 2.763676470704248267e+00 1.935930758154966735e+00 3.986992056964696052e-01
1.459772853706459372e+00 8.069000798277232989e-02 2.710928172001727088e+00 5.116460108955770414e-01 2.012377044638838264e+00 2.016019658840473738e+00 2.506764170239771161e+00 2.244431881244150606e+00 2.403705914425113388e+00 2.792518259044448836e+00 2.415229066617869513e+00 2.482283659213858407e+00 2.721833768755920868e+00
1.437233367165928755e+00 1.378342174154245370e-01 2.399877260696583914e+00 2.887168553954758021e+00 3.089182094498812869e+00 4.554054517226429621e-01 2.262836097045689332e+00 8.389768550519557389e-01 2.699023983720070241e+00 2.915736017300843752e+00 2.595784064079330822e+00 2.201111897280584540e+00 2.769771448358973487e+00
1.450484552777437264e+00 9.281266772738198945e-02 1.658584167298139178e+00 1.863325415914373062e+00 7.400290298428577884e-01 1.683066525348720921e+00 2.304624874128209377e+00 8.148383735950687212e-01 2.793341381300646464e+00 3.540072080760172102e-01 6.686729801479189828e-01 1.567983370480175997e+00 1.553437254653430522e+00
1.309257048221601272e+00 1.308949378225093829e-01 2.212591199470519132e-01 9.668726997930184863e-01 9.100885318526333867e-01 1.332976534886620268e+00 8.312198186178506587e-01 8.717950942322820751e-01 2.652723690433239856e+00 2.708670177581694372e+00 1.771760471017876037e+00 2.635810740865092594e+00 3.173443571362702720e+00
1.378921735183556985e+00 1.193536704206285826e-01 2.309927557515726981e+00 5.424423070385376855e-01 1.958097738824824852e+00 6.573334228720603134e-01 3.342141268137480470e+00 1.159362643215113980e-01 1.307100571149816481e+00 3.101356917105138944e+00 2.584085898820736915e+00 2.643223798526463497e+00 6.653925852739815960e-01
1.519609373623156623e+00 1.233188115181856614e-01 1.155360406501433568e+00 1.127715113343311204e+00 2.987390792865585176e+00 3.389048695636164510e+00 6.712370525066747584e-01 5.771361552913638615e-01 5.988308415738945456e-01 2.416012311678052971e+00 1.621975544471039310e+00 2.496180941188770319e+00 3.153914562651315201e+00
1.460552702587715856e+00 1.411675551682283203e-01 2.110245945572874593e+00 1.808069485942492838e+00 2.023021190956793003e+00 2.656560910488562133e+00 1.345757378829572470e+00 2.350184484479813207e+00 7.785184557285831364e-01 1.428906418952494040e+00 7.798888276733507707e-01 6.935119132366633909e-01 7.739825264209690969e-01
1.271567118951941966e+00 1.472799837349162977e-01 9.534030712843659661e-01 1.101827089355525757e+00 1.708334188774670137e+00 8.409664556432186466e-02 1.251823046458049316e+00 2.867561603476229681e-01 9.377569804648262508e-01 4.036186086584008237e-01 1.220254849013837406e+00 2.156161392973365398e+00 3.184227540886633179e+00
1.505299357568365748e+00 5.282785692232267599e-02 2.872614828087508343e+00 5.785342445712384624e-02 2.780339001743559191e+00 1.451585305575745943e+00 2.810164240303150596e+00 6.011254859895078795e-01 2.841500918768305350e+00 9.535961158536837567e-01 1.451373289953798107e+00 2.797725378374090965e+00 1.778119255179085423e+00
1.354026909114374178e+00 1.262548031023705553e-01 2.222494153016386420e+00 2.913862539150136932e+00 2.930043114856899500e+00 2.947229413069302417e+00 2.416108365511187905e+00 2.262263839231280826e+00 1.287871103924031591e+00 1.723752285012406293e+00 1.312593741974671824e+00 2.115520602381788517e+00 1.192351661027927001e+00
1.540434950991796281e+00 5.610283400340754234e-02 8.062133374346193149e-01 1.127746856842728462e+00 1.675011162307713075e+00 2.567589294142853085e+00 3.174339851260663536e+00 1.919076820828109486e+00 1.371534301427771663e+00 3.041933575159679659e+00 1.668723212396501676e+00 2.907705488972609054e+00 2.515901522446911009e+00
1.313882301041497058e+00 1.513755875297749520e-01 1.946773110718749422e-01 2.272217183964189591e+00 8.190913139336637727e-02 3.057519209891125467e+00 5.400577182977028823e-01 2.845288440723067414e+00 2.670561546048971557e+00 2.610214672648973888e+00 1.085419936787895834e+00 8.876163017454236082e-01 1.997074292102841930e+00
1.319633437446599444e+00 1.410274509965802614e-01 3.268578392688108014e+00 7.473076162342928708e-01 1.871474978916964238e+00 1.172851468385319285e+00 2.350525007102279407e+00 2.102574976891281811e+00 2.476952216757118297e+00 2.346250658312218018e+00 9.553563295918221510e-01 2.249822626986770491e+00 1.686616641813246886e+00
1.346372360869192875e+00 1.260575665021958780e-01 2.525476410957512741e+00 9.320474189055839853e-02 2.415186235540208948e+00 2.422726177042134221e+00 2.847605558104166157e+00 2.083831606136209436e-01 3.327998336644208965e-01 8.050770813817324789e-02 3.196337705628454984e+00 1.954341676285188845e+00 1.702555691893475665e+00
1.100189046796709702e+00 1.247077758735502390e-01 2.329000676042681128e+00 1.150017650099195432e+00 6.802748860788447871e-01 1.088588376871843177e+00 2.009662309660179336e+00 2.537722505314180532e-01 3.409156705498635476e-01 4.222738545473021521e-01 3.457783062877037294e-01 1.571248689015955768e-01 7.664899203365628244e-01
1.559229525498854851e+00 1.322160406107572850e-01 2.886777207669831924e+00 2.811237550829563947e+00 1.319581333775240228e+00 1.137197959621524479e+00 3.252061868313662618e+00 1.893597024322355882e+00 2.035199579278434978e+00 4.181332188623471668e-01 1.042113802427710789e+00 1.846317316252397589e+00 3.034544873559760769e-01
1.343130415740228845e+00 1.204178327685909156e-01 7.899278449343244413e-01 2.733798977793455709e-01 2.064594217891607908e+00 8.822979187352550934e-01 2.520706244920313921e+00 1.706473312017682709e+00 8.998944421195379517e-01 1.032620041862327698e+00 1.853937413765283093e+00 1.419188616042156514e+00 1.645322384856531039e+00
1.422782654924791279e+00 1.278531640202021646e-01 2.171632895508101679e+00 1.733634828173896691e-01 1.841477678193650602e+00 2.566681905789981677e+00 2.477199943049428477e+00 2.939021075760714030e+00 2.965843576791447944e+00 1.678997413255569171e+00 2.584799837086225960e+00 3.533864829912147232e-01 1.136003867028156256e+00
1.462585613723700551e+00 8.568575325209260019e-02 1.062858523672277344e-01 2.819515926175215181e+00 3.135470877564788594e+00 2.326618894166777363e+00 2.850762774365147578e+00 2.302441308012789456e+00 3.677708277690677763e-01 1.960617620900675151e+00 7.413325406488940894e-01 7.704444507206464898e-01 2.875005887824206408e+00
1.345334743815282952e+00 1.199866545406728380e-01 2.207601968691987437e+00 3.041462985779277872e+00 1.770383289920723635e-01 2.589236388751068874e-01 3.007394365296336414e+00 1.917351379230654906e+00 4.008748732367847234e-01 2.260733702376100940e+00 1.404081573077543998e+00 2.060469459448410479e-01 1.808128922712976427e+00
1.144405268293579470e+00 1.256462677294901686e-01 2.998763161345646466e+00 2.755375169084498310e+00 2.658819586794610057e+00 9.253545941027343513e-01 2.173095682336660062e+00 6.364614412881006711e-01 7.954537657075637647e-01 3.304193795970106873e+00 2.835135442769573633e+00 2.398026267268748679e+00 3.080970062452083269e+00
1.472217071424182899e+00 8.088850178194434415e-02 3.109504841073506221e+00 9.311920907357921218e-01 2.067202568889052738e+00 5.149567857004149207e-01 4.139012288338428380e-01 2.217860455561473820e+00 3.220687946140865510e+00 2.794673715425717297e+00 2.299151802613980944e-01 2.914581574936845332e+00 2.877461157498192978e+00
1.335095314057000992e+00 7.968211425225087130e-02 2.887596868941312289e-01 1.526507612295144645e+00 2.192122550644121315e+00 7.102925264857101739e-01 1.719082029323528271e+00 2.573522456463665176e+00 9.284921729705725157e-01 1.666040025036889860e+00 2.232217079607089261e+00 1.949032004726331646e+00 2.319477680413991383e+00
1.786338763608425584e+00 4.138196295700846683e-02 2.349342601615227455e+00 1.900300076874683386e+00 9.374529427509920021e-01 2.792172404235323535e-01 4.155964514108690944e-01 1.516691244614513323e+00 3.007863649775509352e+00 4.494375532821030528e-01 8.934356934735202538e-01 3.315279608640872233e+00 1.999591485100911559e+00
1.268670197558715795e+00 1.217453336465201263e-01 6.502217261432494677e-01 3.231871454841519942e+00 1.202187971014970991e+00 3.888216677790135023e-01 1.152811025722626947e+00 6.966226327172151400e-01 7.070893749388257321e-01 1.043275983559567230e-02 1.862941464927140078e+00 2.881638819491795012e+00 2.016368324686437674e+00
1.452200852731112990e+00 7.421850763258126815e-02 1.424821512896151221e+00 3.173345159758129697e+00 3.315632047300542506e+00 4.550689632378757676e-01 6.663215237012519720e-01 2.383152904946865380e+00 1.778015647256739884e+00 2.450567976065007869e+00 1.529083409454887521e+00 1.655347297418321650e+00 9.008596737450638159e-01
1.277323676939985386e+00 1.295775399088463231e-01 8.478585749831295537e-01 1.394545581955395575e+00 2.394590657295377234e+00 2.931069404556928770e+00 8.841266900611484125e-01 5.495950190674253610e-01 1.165707747515013715e+00 2.576352350385611167e-01 8.357903746854615790e-01 1.948909785823655039e+00 9.435074991059609895e-01
1.332500972439630837e+00 1.357222079222531463e-01 2.048313121781034418e+00 2.188697028103423481e+00 5.158394488734432404e-01 2.308350974207120210e+00 2.332743714290700598e+00 1.112782263366562052e+00 2.529804988152768441e-01 1.546990823697696804e+00 2.018697024118931260e+00 4.663007046742387862e-01 2.357001947550555698e+00
1.458026871253249146e+00 5.877723899897125542e-02 2.042612706041844639e+00 2.715698052981557087e+00 2.297176579226573256e+00 9.591040928157923418e-01 1.072556469685704839e+00 1.051678880873655464e+00 3.440099975945623556e-01 1.042812728058769567e+00 6.964869555299938453e-01 2.153796886613069006e+00 2.637792375122656185e-01
1.419313818177152076e+00 1.360369843334593709e-01 1.987970113365090663e-01 2.452488680774426388e+00 2.945607792115172430e+00 1.452271538775308235e+00 2.581648963302106026e+00 2.909194145339277338e+00 2.459988788816256822e+00 3.054689790700288121e+00 3.320764980300555003e+00 5.004875843302414307e-01 3.105756739908449582e+00
1.348240846601656440e+00 7.529108711446941271e-02 2.425797632670077864e+00 3.647869531754633354e-01 1.767683620387891175e+00 2.428720368154662523e+00 8.066781772240650961e-01 7.506600836971346613e-01 3.276973980524611640e+00 2.584069804711533358e+00 9.599120836720254069e-01 1.655394888322853530e+00 1.484209543303214307e+00
1.334064907443127668e+00 9.698737775626962987e-02 1.520010165417620351e+00 1.837662086834197517e+00 7.469266717996875249e-01 1.924893531301151040e+00 2.350039892098068905e-01 2.840444708017129116e+00 1.871044759270796831e-01 1.619814319278670034e+00 3.230008943552583833e+00 2.181938589295351338e+00 2.749753795585991423e+00
1.240767528206621284e+00 1.037049959652653480e-01 3.218725888482987241e-01 2.370714669452911760e+00 1.164232088941307142e+00 4.775257538619552267e-01 2.523283149272264492e+00 2.225278752530782889e+00 2.443425493762749756e+00 2.801121672646515570e+00 1.598145154331634676e-01 7.580476752908800464e-02 1.246972981997745089e+00
1.397236568245046495e+00 7.331389322134811148e-02 7.577231632602411671e-02 3.063073738873755225e+00 1.791677696841698531e+00 2.561788000210211358e+00 2.385161565491254354e+00 2.363438534229898025e+00 1.391415665254776002e+00 1.499242912612133161e+00 3.238026736639374015e+00 7.361192925783610619e-01 1.045427410705985327e+00
1.247867998655899591e+00 2.373984134212362707e-01 2.235517326134035532e+00 1.773773519636473228e+00 4.598053836753583368e-01 2.953379754233093624e-01 2.304001250774686760e+00 2.906772704439062771e+00 4.038773847433905217e-01 5.672547258902281841e-01 3.226867483445064799e+00 1.694109143403270012e+00 2.303184935792517596e+00
1.134403551672655164e+00 1.293595975756874350e-01 2.175512946180384155e+00 9.963061476090450119e-01 2.910135882489550685e-01 1.280077276239295125e+00 1.235077279084134450e+00 1.191859554788311931e-01 2.761703150831693598e+00 2.163364648803267620e+00 1.336595710551084393e+00 3.042415992855271867e-01 1.216972567101441749e+00
1.409587926485552423e+00 1.501168048905884012e-01 2.707045544403950732e+00 3.153387029942089637e+00 3.308590166277600858e-02 8.102585882413439189e-02 7.518826186615704676e-01 5.763576249469216650e-01 1.076349464385198740e+00 1.216119452640018750e+00 1.341369475238112230e+00 3.036670180549248421e+00 1.164238218997346586e+00
1.352946017389429434e+00 9.686943586750132451e-02 1.889627325557609039e-01 2.207610860920320661e+00 2.051271711274429865e+00 3.159215821411530900e+00 1.653576324618282412e+00 4.953128643875008286e-01 6.203571628636488366e-01 1.049336153388081172e+00 5.576021836864205605e-01 1.591091228619632147e+00 7.052426807161623623e-01
1.292299244248934942e+00 1.617579885215927604e-01 2.955753938005547088e+00 2.283352481608986739e+00 1.910182371706134585e+00 4.157269891680613338e-01 2.729246937953380581e+00 2.281098844343258936e+00 2.041332163067822503e+00 2.093547601888841925e+00 1.229318083276439211e+00 2.483662621732381393e+00 1.623709416688635665e+00
1.118586747071250276e+00 1.812941934278614609e-01 3.374230613091303566e-01 8.807047470094508945e-01 2.869889815807217026e+00 3.093990818699686951e+00 4.821083712970530288e-01 3.334862409443173803e+00 2.944009688078267906e-01 1.434313510113345069e+00 1.180452972262526101e+00 4.694248995095812865e-02 1.475366299955316096e+00
1.285930946411708131e+00 1.500708003139419322e-01 1.501913247098437543e+00 1.670683261754091764e-01 1.273255840460088661e+00 1.365999394083544871e+00 1.806701485686083464e+00 1.917586126439088989e+00 3.063229526992550245e+00 2.893857670386422942e+00 1.455011282537314932e+00 6.234495847016796599e-01 2.917065570861990254e-01
1.280470705042259016e+00 1.481404103346532497e-01 1.076985627965611814e+00 3.148067619929938665e+00 1.359063063328579180e+00 3.087746564748922395e+00 4.124059995922697563e-01 1.787839069737850561e+00 4.625159508608437942e-01 2.310993922535564682e+00 9.458738875550950498e-01 3.330673615402520937e+00 5.422150931041527094e-02
1.487714378690916384e+00 9.538227393789024122e-02 1.479243592153974163e+00 2.857818321017540075e+00 2.149610678674384712e+00 2.096949931533906852e+00 7.421003768229570419e-01 2.901356109361899804e+00 2.482234404665311922e-01 1.521981397347616394e+00 7.486103399388895907e-01 2.685071871399866694e+00 1.829525490888677997e+00
1.340851102259422056e+00 1.205091504659185631e-01 5.508563767907694864e-01 8.454703667593638228e-01 3.011911953920320073e+00 7.696525388815124158e-01 1.173377125328068704e+00 1.489639095158570958e+00 3.351695539704932614e+00 1.134009702499800154e+00 2.100754212297244461e+00 2.469714420989079784e+00 6.141062030761398338e-01
1.283348565618134041e+00 1.182908744938360457e-01 1.770637300747469611e+00 2.184331277135531213e+00 7.247637794043341186e-01 1.874947355186230291e-01 9.766099538057140261e-01 1.796110472276545078e+00 9.832553695519112846e-01 2.064188943251743513e+00 4.788872125373196953e-01 3.895375684794868398e-01 1.534346997211815111e+00
1.236738629537946332e+00 1.549624197081488630e-01 2.132569763402128338e+00 1.884590077381037787e+00 2.468357331660933518e+00 2.920013423815565279e+00 1.262663775628516838e+00 1.092091849354393407e+00 2.428133545427614948e+00 2.364744872643539164e+00 3.227743989872930541e+00 5.943291608753383803e-01 4.840415111131284309e-01
1.283231441646229598e+00 1.321983968602458426e-01 1.734030745114508276e+00 5.183200391367694948e-01 1.185843621757283417e+00 2.367036083629812104e+00 1.736267671733052520e+00 1.441241663815905127e+00 1.127758279985350276e+00 2.353433752877986118e-01 3.008850819131845267e+00 2.092903646307169740e+00 2.550098860326990291e+00
1.274344643397598231e+00 1.453584157949949773e-01 3.224475474605721370e+00 2.084438729558492742e+00 4.715443402775332804e-01 1.606926214761107197e+00 1.399626563223146158e+00 1.212419705110471035e+00 2.160647599813114272e+00 1.449152907915916000e+00 2.057392490612533764e-01 3.169232649181258132e+00 2.777729958218003059e+00
1.294024173479784379e+00 1.383840108759774035e-01 3.276172991036407467e+00 6.801768024460309592e-01 1.690260039575439910e+00 3.285411781225714645e+00 1.429593678564556436e+00 3.147773993188563768e+00 2.012451494391652940e+00 2.972730735274949687e+00 2.615940222927181313e+00 1.358150150726709970e+00 1.971189951706117660e-01
1.557032738768178159e+00 1.025940403836475001e-01 8.743909691653888316e-01 2.712717895096405929e+00 1.263821583869068066e+00 6.567700135438727660e-01 1.151726087014665945e+00 1.644330979065060205e+00 6.017430324764674321e-01 1.354482722324742427e+00 3.186170084718572326e+00 2.357838333515598794e+00 2.557937109709996548e+00
1.269935481694348445e+00 1.865868609066348438e-01 2.971647516438204462e-01 1.529014105997637207e+00 2.507055414511488944e+00 2.274474525296296790e+00 1.589011495380178829e+00 2.203973990465923016e+00 6.759416359356991422e-02 2.719848228221704023e-01 1.411127963893201498e+00 1.732416745088869670e+00 1.486027118373774769e+00
1.285557144151735276e+00 1.326309461173502124e-01 1.042930012870990908e-01 3.127268692300201547e+00 2.188201815494462910e+00 1.985573452712173226e-01 3.069393409069148593e+00 2.925410097116174502e+00 2.233743917369065635e+00 1.540759371483828133e+00 1.425500507038876430e+00 1.951958506126865167e+00 1.179918427575066708e+00
1.244433245924131848e+00 1.584991683610425250e-01 2.469441010633317557e+00 2.856601738705296878e+00 1.321853551432161655e+00 3.224826476103468398e-01 1.381068637205615124e+00 2.394902379977634568e-02 1.171339387909162033e+00 2.178825988841532446e+00 3.205268052851468208e-01 3.004402637644962848e+00 1.981466406336772623e+00
1.348351143619399561e+00 1.173167878800017716e-01 1.798933363678820285e+00 2.613434011158344283e+00 3.229208096997945976e+00 9.303676139937067102e-01 8.185552527377624177e-01 2.045636618630493953e+00 2.650470654469080589e+00 2.304248354992490366e+00 1.616081371163092140e+00 1.514733993007730151e+00 6.089023622999001351e-02
