,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
812,1.57317e+00,1.13606e-01,1.36881e-01,1.22541e+00,1.40323e+00,2.81779e+00,1.57277e+00,3.23031e+00,8.84454e-01,2.63880e+00,1.56413e+00,2.21867e+00,2.34189e+00
813,1.31386e+00,1.56075e-01,1.32270e+00,1.85539e+00,6.59915e-01,2.69105e+00,2.71006e+00,7.64806e-02,1.32846e+00,2.71359e+00,1.75996e+00,2.23568e+00,9.91933e-02
814,1.56763e+00,6.23799e-02,2.44807e+00,3.18560e+00,3.20400e+00,2.74234e+00,2.32199e+00,3.36223e+00,1.00051e+00,4.92747e-01,1.23436e+00,1.01365e+00,2.86636e-01
815,1.29398e+00,1.31638e-01,9.57490e-01,1.41303e+00,3.11456e+00,7.20722e-02,1.40505e+00,2.33345e+00,8.88145e-01,1.25280e+00,2.07854e+00,2.73746e+00,5.09937e-01
816,1.44800e+00,5.95906e-02,3.12620e+00,2.35623e+00,6.81631e-01,4.01449e-01,1.46025e+00,2.13925e+00,2.22858e-01,3.00569e+00,1.63941e+00,7.68728e-01,1.81028e+00
817,1.42056e+00,9.99161e-02,1.53924e+00,3.00620e+00,1.08957e+00,6.69658e-01,2.59900e+00,4.75335e-01,2.76373e+00,2.27193e+00,1.07220e+00,2.43754e+00,9.43608e-01
818,1.43460e+00,8.77583e-02,2.23690e+00,2.43760e+00,3.35478e+00,2.58597e+00,7.21628e-01,3.19184e+00,2.09748e+00,3.26956e+00,6.95408e-01,2.62029e+00,1.91634e+00
819,1.30129e+00,2.25617e-01,1.36780e+00,2.76025e+00,2.77786e+00,2.08566e+00,1.51379e+00,2.07285e-01,6.14702e-01,2.78774e+00,2.65820e+00,3.21238e-01,3.11064e+00
820,1.28737e+00,7.11960e-02,2.03823e+00,2.83786e+00,1.92487e+00,1.22425e+00,1.32059e+00,1.79908e+00,2.06052e+00,2.28642e+00,1.43113e+00,2.86140e+00,1.91687e+00
821,1.44475e+00,1.05337e-01,3.33698e+00,2.37102e-02,2.55605e+00,1.32600e+00,1.36655e+00,3.63894e-01,1.65678e+00,1.92021e+00,1.70858e+00,3.21867e+00,2.58430e+00
822,1.42806e+00,6.71620e-02,3.31672e+00,1.08140e+00,3.12622e-01,1.11730e+00,1.53545e+00,2.43280e+00,1.43836e+00,2.66166e+00,1.98068e+00,6.40921e-01,1.49599e+00
823,1.29931e+00,2.02411e-01,5.78163e-01,2.59729e+00,6.11052e-01,4.26230e-01,2.73051e+00,1.67839e+00,7.28937e-01,7.10232e-02,3.14366e+00,3.35247e+00,6.63704e-01
824,1.31968e+00,1.43133e-01,2.28757e-01,1.45099e+00,1.92219e+00,3.24207e+00,1.14445e+00,3.18839e+00,3.17963e+00,1.90579e+00,3.25094e+00,3.03200e+00,1.86875e+00
825,1.60846e+00,1.29724e-01,2.58241e+00,3.18641e+00,1.79706e+00,2.39470e+00,3.28287e+00,6.08436e-01,2.72126e+00,2.88552e+00,3.24441e+00,1.09744e-01,2.89059e+00
826,1.57429e+00,9.89479e-02,1.93028e-01,1.15891e+00,8.29983e-01,2.53361e+00,1.64606e+00,2.70027e+00,6.16651e-01,4.18522e-01,1.35428e+00,6.95593e-01,1.24466e+00
827,1.29082e+00,9.81003e-02,2.11659e+00,1.79236e+00,3.38576e+00,1.19075e+00,1.33489e+00,1.39029e+00,1.57787e+00,2.43223e+00,3.18522e+00,1.97144e+00,3.36618e+00
828,1.35136e+00,6.77026e-02,3.09914e+00,2.17178e-01,1.71264e+00,4.42202e-01,2.27790e+00,5.28189e-01,1.52751e+00,1.36970e+00,3.22620e+00,2.62925e+00,3.05441e+00
829,1.33287e+00,1.38155e-01,2.76626e+00,3.36007e+00,2.19982e+00,9.83114e-01,3.00775e+00,6.66018e-02,3.27323e+00,2.27103e+00,3.06998e+00,6.39490e-01,2.84569e+00
830,1.03200e+00,1.37912e-01,6.23154e-01,2.16444e+00,3.06658e+00,1.45800e+00,3.38112e+00,1.61029e+00,1.38404e+00,3.35987e+00,2.95464e+00,7.16699e-01,2.63884e+00
831,1.41027e+00,8.71297e-02,7.36823e-01,1.84063e+00,4.99515e-02,1.59891e+00,2.10908e+00,1.53685e+00,2.58504e+00,1.68642e+00,2.50594e+00,2.61770e+00,1.52596e+00
832,1.21647e+00,1.88562e-01,1.31185e+00,5.62928e-01,2.91461e+00,2.90875e-01,1.77229e+00,2.13355e+00,6.43150e-01,6.05040e-01,2.73023e-02,2.19507e+00,1.90557e+00
833,1.33185e+00,1.04957e-01,2.29026e+00,2.86186e+00,3.20557e+00,1.60223e+00,2.82426e+00,2.54004e+00,2.03346e+00,6.27310e-01,1.53136e+00,1.28950e+00,1.04377e+00
834,1.25141e+00,1.57852e-01,3.00672e+00,3.07401e+00,1.65435e+00,2.32815e+00,1.68388e+00,2.09507e+00,1.56737e+00,3.21235e+00,3.10047e+00,5.48088e-01,3.27405e+00
835,1.22685e+00,1.93608e-01,1.36351e-01,1.64903e+00,1.96191e+00,4.96511e-01,1.81329e+00,3.35397e+00,9.80320e-01,2.60755e+00,4.25736e-01,2.94682e+00,2.33752e+00
836,1.37848e+00,6.08631e-02,2.39595e+00,2.47868e+00,7.84712e-01,1.86421e+00,4.67740e-01,1.45240e+00,2.82556e+00,1.35240e+00,3.26672e+00,2.15919e+00,2.92269e+00
837,1.23778e+00,1.77189e-01,1.87606e+00,2.70380e+00,2.37389e+00,6.60332e-01,1.22928e+00,2.56785e+00,2.36052e+00,1.23991e+00,2.92923e+00,2.99611e+00,3.19931e+00
838,1.27157e+00,1.47280e-01,9.53403e-01,1.10183e+00,1.70833e+00,8.40966e-02,1.25182e+00,2.86756e-01,9.37757e-01,4.03619e-01,1.22025e+00,2.15616e+00,3.18423e+00
839,1.60765e+00,1.04243e-01,2.13284e+00,1.37548e+00,2.03166e+00,1.63555e+00,1.93968e-01,3.17501e+00,2.22373e+00,3.20847e+00,7.05838e-01,2.10728e+00,7.39395e-02
840,1.51199e+00,7.35457e-02,3.11966e+00,3.86474e-01,2.36028e+00,2.63203e+00,2.21418e+00,2.31311e+00,5.13172e-01,1.53561e+00,3.06842e+00,2.68851e+00,9.54345e-01
841,1.16859e+00,1.92111e-01,1.44306e+00,2.86229e+00,2.41484e-01,2.95762e+00,1.57362e+00,4.56640e-01,3.34087e+00,6.63958e-01,2.41991e+00,2.00555e+00,3.04501e+00
842,1.48206e+00,1.66914e-01,1.97618e+00,2.49789e+00,2.66149e+00,1.41757e+00,2.23419e+00,4.94468e-01,2.97259e+00,7.39473e-02,1.15501e+00,2.70543e+00,3.15100e+00
843,1.67927e+00,6.70437e-02,2.95599e+00,2.15943e+00,1.05509e+00,3.32008e+00,2.34953e+00,3.06906e+00,1.68100e+00,2.46726e+00,1.40974e+00,3.87618e-01,1.03972e+00
844,1.41270e+00,1.51349e-01,9.26922e-02,3.21494e+00,2.71302e+00,3.19913e+00,5.94773e-01,1.80650e+00,3.12153e+00,7.53166e-01,1.59759e+00,3.07625e+00,5.71360e-01
845,1.34407e+00,2.02122e-01,1.82868e+00,2.53187e+00,2.07714e+00,2.50894e+00,9.02356e-02,7.34571e-01,1.26382e+00,1.86180e+00,2.66236e+00,2.85314e+00,2.77540e+00
846,1.52344e+00,2.04289e-01,2.09759e+00,2.07779e+00,2.75125e+00,1.58088e+00,1.98891e+00,2.32174e+00,2.64261e+00,1.09440e+00,9.47510e-01,1.25740e-02,3.34395e+00
847,1.34071e+00,1.47313e-01,2.11261e+00,1.47699e+00,1.42247e+00,1.60179e+00,8.04757e-01,2.93232e+00,2.77702e+00,1.07172e+00,1.10982e+00,3.17754e+00,1.65921e+00
848,1.43007e+00,6.77997e-02,3.28681e+00,3.26226e+00,2.46196e+00,1.27388e+00,1.44178e+00,2.97348e+00,1.38621e+00,6.58256e-01,2.73815e+00,2.69459e+00,1.60576e+00
849,1.42560e+00,1.00425e-01,7.23328e-01,9.29566e-01,1.09100e+00,6.31338e-01,2.31342e+00,1.47164e+00,1.07892e+00,7.51879e-01,1.76238e+00,1.58780e+00,2.17259e+00
850,1.13957e+00,1.32737e-01,1.33032e+00,1.76336e+00,2.69022e+00,3.33406e+00,1.87496e+00,2.96203e+00,2.71265e+00,2.86926e+00,1.57877e+00,1.75084e+00,3.00179e-01
851,1.57746e+00,1.40412e-01,9.59215e-02,1.80310e+00,1.20262e+00,7.91273e-01,2.20755e+00,8.92664e-01,1.41295e+00,1.83168e+00,1.52637e+00,1.47811e+00,2.28583e+00
852,1.16189e+00,1.20727e-01,1.21039e+00,1.62447e+00,1.43270e+00,3.32536e+00,1.50206e+00,9.45212e-01,1.03643e-01,1.43086e+00,1.48060e+00,2.50586e+00,3.01938e+00
853,1.40514e+00,6.29100e-02,2.73921e+00,1.56337e+00,2.38010e+00,1.72005e+00,7.17961e-01,1.64310e-01,3.37105e+00,2.94624e+00,1.00465e+00,2.28974e+00,2.44786e+00
854,1.45182e+00,1.02106e-01,2.73707e+00,2.95759e-01,1.68542e+00,2.43247e+00,2.67908e+00,1.83348e+00,2.57664e+00,1.39666e+00,5.06089e-01,6.30016e-01,2.12072e+00
855,1.18909e+00,1.17538e-01,6.29355e-01,3.31454e+00,3.16743e+00,3.85565e-01,2.21590e+00,9.17234e-01,2.97624e+00,5.62085e-02,2.93998e+00,1.76245e+00,2.39380e+00
856,1.13924e+00,1.41977e-01,2.28320e+00,3.76547e-01,6.24456e-01,1.82599e+00,2.98048e+00,2.32826e+00,5.47339e-01,2.54157e+00,3.26200e+00,3.54264e-01,3.95470e-01
857,1.46621e+00,1.11718e-01,3.36261e+00,1.58714e+00,1.49523e+00,1.64204e+00,9.66636e-01,1.59188e+00,1.35782e+00,1.03840e+00,1.52483e-01,1.27841e+00,1.12610e+00
858,1.26775e+00,1.66028e-01,1.08199e+00,1.40853e+00,3.30251e+00,2.78011e+00,2.16441e+00,1.01519e+00,3.91273e-01,3.74923e-01,6.00116e-01,2.99194e+00,8.62105e-01
859,1.27642e+00,6.83906e-02,2.42390e+00,2.59422e+00,2.44767e+00,3.23098e+00,1.15388e-01,6.83980e-01,3.05676e+00,2.34832e-01,2.00999e+00,2.75362e+00,3.05152e+00
860,1.16718e+00,1.34923e-01,1.87079e+00,3.29969e+00,5.87086e-01,1.00963e+00,5.95608e-01,3.21549e-01,1.92862e+00,5.24100e-01,3.63946e-01,7.21148e-01,6.82228e-01
861,1.23900e+00,1.61218e-01,1.87143e-02,2.36470e+00,2.04590e+00,6.77496e-01,2.80131e+00,1.75766e+00,2.83898e+00,2.13446e+00,2.79995e+00,9.83089e-01,3.00167e+00
862,1.24193e+00,1.97897e-01,1.73905e+00,2.62391e+00,2.61113e+00,5.91650e-01,1.16118e+00,2.80204e+00,2.44601e+00,9.86033e-01,1.96651e+00,5.61096e-01,5.73307e-01
863,1.30615e+00,1.84992e-01,1.26866e+00,1.28283e+00,3.07855e+00,1.42765e+00,3.01905e+00,9.05086e-01,6.92894e-01,2.01103e+00,3.29388e+00,2.79875e+00,3.29375e-01
864,1.62128e+00,1.11915e-01,2.59943e+00,2.33158e+00,8.33198e-02,2.35294e+00,2.73006e+00,1.79072e+00,3.24874e+00,1.19728e+00,1.78925e+00,1.85082e+00,3.06503e+00
865,1.38784e+00,1.36089e-01,1.46378e+00,2.83932e+00,1.68616e+00,2.25854e+00,2.17284e-02,3.03511e-01,2.49341e+00,2.48283e+00,8.35726e-01,2.21400e+00,2.31550e+00
866,1.28483e+00,1.33344e-01,1.42948e+00,3.17253e+00,3.35685e+00,9.85728e-01,2.99974e+00,2.09383e+00,7.14310e-01,1.70178e-01,4.50041e-01,1.56878e+00,4.02430e-01
867,1.35156e+00,7.93385e-02,2.49774e+00,1.51160e+00,1.05123e+00,2.74277e+00,1.61879e+00,5.62342e-01,2.49735e+00,1.88000e+00,1.24572e+00,2.33301e+00,1.11375e+00
868,1.22889e+00,1.67972e-01,2.08048e+00,2.17232e+00,2.83250e+00,3.13414e+00,1.66047e+00,1.00924e+00,4.98185e-02,2.96999e+00,2.55874e+00,5.92685e-01,2.39304e+00
869,1.48246e+00,6.55247e-02,3.27639e+00,8.34155e-01,2.12422e+00,2.54325e+00,3.14254e+00,6.11129e-01,1.63495e+00,3.15506e+00,2.15894e+00,2.34262e+00,2.21604e+00
870,1.36225e+00,1.25756e-01,2.61228e+00,2.15035e+00,5.10988e-01,3.13310e+00,2.90034e-01,2.12008e+00,1.69275e+00,6.66680e-02,2.27625e+00,9.34979e-01,3.91040e-01
871,1.33529e+00,9.61025e-02,2.96740e+00,8.17092e-02,1.91278e+00,1.66333e+00,1.84290e-01,3.15577e+00,6.68988e-02,3.23969e+00,2.43759e+00,6.72798e-01,6.94189e-01
872,1.08486e+00,1.85109e-01,2.47520e+00,1.88192e+00,3.15081e+00,4.48253e-01,1.77020e+00,3.15642e-01,2.25577e+00,1.96551e+00,2.06438e-02,3.21334e+00,2.88811e+00
873,1.37303e+00,1.06919e-01,2.90306e+00,1.99595e+00,2.83718e+00,6.14686e-01,2.25633e+00,2.55516e-02,2.67574e+00,2.72562e+00,3.33025e+00,3.07307e+00,3.25321e+00
874,1.21683e+00,1.77867e-01,3.39567e+00,1.68736e+00,7.86052e-01,1.47338e+00,1.78062e+00,1.84278e+00,2.86204e+00,2.62366e+00,2.35194e+00,3.03278e+00,2.60789e+00
875,1.20965e+00,1.04794e-01,6.77880e-01,5.52993e-01,2.98775e+00,6.25898e-01,2.23253e+00,1.55162e+00,2.55059e+00,9.24709e-02,1.48348e-01,1.26015e-01,4.76619e-01
876,1.24882e+00,1.21294e-01,1.54789e+00,1.41575e+00,2.16066e+00,6.60807e-01,1.35031e+00,1.30113e+00,8.81761e-01,1.57753e+00,3.26322e+00,1.88036e+00,2.33516e+00
877,1.25281e+00,1.35684e-01,1.97060e+00,2.15862e+00,2.99884e+00,3.30507e+00,3.08394e+00,3.11537e+00,2.31526e+00,1.98234e+00,1.73904e+00,1.23810e+00,2.29225e+00
878,1.22613e+00,1.10354e-01,2.87036e+00,2.56861e+00,1.50828e+00,1.10176e+00,1.28767e+00,7.89933e-01,5.30703e-01,2.70747e+00,1.38175e+00,2.46474e+00,2.85620e+00
879,1.33925e+00,1.88447e-01,3.37954e+00,2.31679e+00,2.50911e+00,2.91035e+00,3.05233e-01,6.36271e-01,6.94155e-01,6.52011e-01,2.71563e+00,8.96886e-01,2.62944e-01
880,1.35890e+00,1.19458e-01,1.36163e+00,2.18997e+00,2.04254e+00,8.23430e-01,8.27875e-01,3.26572e+00,1.86420e+00,9.50969e-01,3.23603e+00,3.33511e+00,2.04382e+00
881,1.45919e+00,8.56979e-02,2.61778e+00,1.69256e+00,2.66546e+00,2.96803e+00,2.86424e+00,1.30198e+00,3.89866e-01,1.20047e+00,4.00663e-01,5.53181e-01,3.00533e-02
882,1.48836e+00,8.59057e-02,2.63543e+00,2.67664e+00,8.68567e-01,3.05916e+00,3.61789e-01,8.32179e-01,3.07579e+00,1.74152e-02,2.32132e+00,1.24147e+00,4.65928e-01
883,1.26379e+00,6.96152e-02,5.91089e-01,5.05442e-01,2.28293e+00,2.06572e+00,3.44355e-01,3.35573e+00,2.27388e+00,2.22809e-01,1.31708e+00,3.11412e+00,1.92322e+00
884,1.46112e+00,1.90765e-01,3.20249e+00,2.67233e+00,1.69853e+00,3.14607e+00,2.57936e+00,3.35291e+00,2.19137e+00,1.40004e+00,9.06922e-01,2.60410e+00,5.74362e-01
885,1.45628e+00,2.18823e-01,2.73184e+00,1.26280e+00,3.01651e-01,1.72412e+00,9.95170e-01,1.50682e+00,3.10092e+00,1.74190e+00,2.07444e+00,7.65105e-03,1.85451e+00
886,1.42190e+00,6.94075e-02,2.62771e+00,1.03843e+00,9.44278e-01,1.78188e+00,8.99263e-01,1.85000e+00,1.45772e+00,1.23166e+00,2.18273e+00,2.23051e+00,1.42201e+00
887,1.54160e+00,7.25037e-02,2.14489e+00,3.00328e+00,7.94522e-01,2.93861e-01,8.61731e-01,8.02258e-01,1.20740e+00,1.02547e-01,3.32723e+00,7.45366e-01,3.60597e-01
888,1.29132e+00,1.59792e-01,3.10603e+00,1.11249e+00,2.52134e+00,2.89080e+00,2.50545e+00,3.39100e-01,2.63614e-01,1.68829e+00,3.27506e+00,1.88381e+00,9.38516e-01
889,1.34193e+00,1.61665e-01,2.92920e-01,2.51649e+00,2.43387e+00,1.35286e+00,1.69836e+00,2.01307e+00,4.54504e-02,1.36879e+00,6.28567e-02,1.18120e+00,3.10349e-01
890,1.32495e+00,7.62954e-02,1.01176e+00,1.50199e+00,9.22299e-01,2.22601e+00,7.36518e-01,1.62143e+00,1.82161e+00,1.19726e+00,1.04775e+00,4.88673e-01,6.94286e-01
891,1.37035e+00,1.37919e-01,2.43971e+00,2.69293e+00,1.76447e+00,2.69298e+00,1.89404e+00,3.32585e+00,3.22492e+00,9.63906e-01,2.15276e+00,2.99087e+00,2.71629e+00
892,1.38464e+00,6.29922e-02,2.85273e+00,1.36189e+00,2.72024e-01,1.69985e+00,1.61031e+00,3.38510e+00,9.95163e-01,4.22711e-01,2.27368e+00,1.69752e+00,3.23459e+00
893,1.45603e+00,1.29560e-01,3.04540e+00,1.44293e+00,1.47259e+00,7.68243e-01,7.93014e-01,1.94981e+00,1.89973e+00,2.28742e+00,2.06251e+00,2.85279e+00,9.97556e-01
894,1.51482e+00,9.32685e-02,1.41762e+00,2.22246e+00,7.61047e-02,3.27793e+00,3.86004e-01,1.10135e+00,2.93896e+00,3.22370e+00,1.31515e+00,1.96113e+00,9.51594e-01
895,1.45579e+00,1.55535e-01,1.07333e+00,1.84290e+00,9.80195e-01,9.74670e-01,1.47357e+00,2.50343e+00,2.97171e+00,2.86144e-01,2.68389e+00,2.70618e-01,2.55966e+00
896,1.39564e+00,2.14565e-02,2.36054e+00,2.80246e+00,3.01662e+00,1.49079e+00,1.88631e+00,2.58128e+00,1.02946e+00,1.61092e+00,5.72025e-02,2.64103e+00,7.21484e-01
897,1.31256e+00,1.61208e-01,2.83277e+00,6.93386e-01,2.15951e+00,2.06649e+00,1.05334e+00,8.12843e-01,1.57388e+00,2.22024e+00,8.89792e-01,1.17839e+00,2.93865e+00
898,1.15495e+00,1.39364e-01,1.43983e+00,1.19338e+00,1.89360e+00,5.59892e-01,3.33453e+00,1.60573e+00,1.86253e+00,3.23706e+00,1.69769e+00,3.28478e+00,2.80678e+00
899,1.44022e+00,1.14361e-01,2.81054e+00,1.78870e+00,1.70238e+00,4.29136e-01,1.77719e+00,8.98305e-01,2.26760e+00,2.96874e+00,2.24302e+00,2.39016e+00,4.21119e-01
900,1.18573e+00,9.79434e-02,2.87362e+00,2.98363e+00,1.57981e+00,2.81129e+00,1.17152e+00,2.60102e+00,2.42077e+00,2.76997e+00,1.33040e+00,2.41991e+00,1.78149e+00
901,1.52970e+00,1.66348e-01,4.02096e-01,1.00151e+00,2.59219e+00,2.34453e+00,3.06866e+00,2.78352e+00,3.11731e+00,2.58916e-01,1.55002e+00,2.92345e+00,2.98886e-01
902,1.35675e+00,1.41256e-01,1.43518e+00,2.04040e+00,3.17543e+00,4.30135e-01,9.51107e-01,2.61457e+00,1.53509e+00,1.40851e+00,3.36948e+00,2.20843e-01,1.84511e-02
903,1.18533e+00,1.74219e-01,3.49684e-01,2.07214e+00,2.62148e+00,3.20938e+00,1.77922e+00,2.80450e+00,1.50984e+00,2.84792e+00,1.88406e+00,1.18864e+00,2.35020e+00
904,1.06004e+00,2.36013e-01,1.39845e-02,2.31901e+00,6.88353e-01,2.47876e+00,2.42136e+00,2.44210e+00,2.26564e+00,7.76986e-02,4.18055e-01,1.89376e-01,2.80850e-01
905,1.33891e+00,1.40896e-01,1.61104e+00,9.08925e-01,1.43045e+00,1.26136e+00,2.85738e+00,2.58839e+00,2.58922e+00,1.14711e+00,2.00350e+00,7.23348e-01,1.86032e+00
906,1.47997e+00,1.64236e-01,1.23376e+00,7.42489e-02,1.58015e+00,1.66046e-02,3.08182e+00,8.82704e-01,1.51491e+00,3.00974e+00,2.04057e+00,6.99744e-01,2.39689e-02
907,1.48130e+00,6.40812e-02,3.83555e-01,1.67403e+00,3.21095e+00,3.19665e+00,1.83384e+00,7.77608e-02,2.27644e+00,9.77110e-01,1.40587e+00,3.00835e+00,2.09334e+00
908,1.37807e+00,9.87455e-02,3.16321e+00,1.50568e+00,2.27607e+00,1.30930e+00,3.00795e+00,1.04195e+00,2.96099e+00,2.65868e+00,1.86947e+00,2.77311e+00,8.74559e-01
909,1.20267e+00,1.22579e-01,2.46583e+00,1.25690e+00,1.83605e+00,1.61634e+00,9.61414e-01,2.08655e+00,1.39580e+00,1.87599e+00,1.54225e+00,1.83172e+00,2.35448e+00
910,1.38064e+00,8.16648e-02,2.73792e+00,8.08877e-01,3.38648e+00,2.12834e+00,2.90415e-01,3.22254e+00,2.85667e+00,1.48647e-01,1.40198e+00,8.23845e-01,7.59192e-01
911,1.30530e+00,1.39636e-01,7.00593e-01,7.49028e-01,9.68523e-01,1.17061e+00,2.53210e+00,3.23153e+00,1.62855e+00,2.90440e+00,8.27444e-01,1.76649e+00,2.53711e+00
912,1.35147e+00,1.36902e-01,2.19397e+00,3.23721e+00,1.71753e+00,8.18914e-01,2.92239e+00,1.66788e+00,6.15493e-01,6.09764e-01,2.89809e+00,7.91532e-01,1.89170e+00
913,1.45956e+00,1.08996e-01,1.61544e+00,1.31159e+00,2.54862e+00,2.52066e+00,2.99461e+00,2.93274e+00,7.15779e-01,3.08314e+00,2.75499e+00,1.90220e+00,7.79917e-01
914,1.23042e+00,1.30996e-01,1.22850e+00,1.85598e+00,8.63398e-01,2.84040e+00,1.97269e+00,3.35199e+00,1.35130e+00,1.36148e+00,2.03600e+00,1.57082e+00,1.94155e+00
915,1.27742e+00,1.57648e-01,2.31583e+00,2.18284e+00,2.56840e+00,1.40952e+00,3.32066e+00,2.49845e+00,2.52363e+00,2.20713e-02,3.14065e+00,1.73420e+00,2.38726e+00
916,1.32690e+00,8.92753e-02,1.25012e+00,2.43903e-01,1.41162e-01,1.58410e+00,1.97628e+00,1.60543e+00,2.44025e+00,1.78458e+00,2.89708e-01,1.29356e+00,1.25952e-01
917,1.23228e+00,1.54680e-01,6.25505e-01,1.80480e+00,3.09457e+00,5.52185e-01,2.79071e+00,1.36741e+00,1.71023e-01,3.36144e+00,1.34018e+00,2.09220e+00,2.40226e+00
918,1.58771e+00,7.90035e-02,1.64646e+00,2.49280e+00,1.15135e+00,1.16113e+00,1.45426e+00,3.05386e+00,2.28852e-01,2.64661e+00,1.64001e+00,9.35498e-01,3.37324e+00
919,1.43801e+00,1.41949e-01,2.66274e+00,4.75905e-01,1.53621e+00,8.77322e-02,1.01561e+00,1.09417e+00,1.88460e+00,1.11237e+00,2.67516e+00,2.13208e+00,9.73262e-01
920,1.38078e+00,1.07892e-01,2.38351e+00,1.86271e+00,3.60667e-01,4.98909e-01,2.98523e+00,3.63920e-01,1.59852e+00,1.31085e+00,2.14833e-01,1.75824e+00,1.86875e+00
921,1.32963e+00,1.54434e-01,2.58605e+00,2.09013e+00,9.49582e-01,2.78009e+00,1.27697e+00,2.04075e+00,2.24645e+00,7.05201e-01,1.76891e+00,8.02013e-01,1.57145e+00
922,1.30916e+00,1.08094e-01,2.51354e+00,1.73834e+00,3.30911e+00,2.43083e+00,2.85981e+00,8.70690e-01,9.70620e-01,3.35268e+00,2.17252e+00,3.04333e+00,7.50649e-01
923,1.65232e+00,1.02339e-01,2.27848e+00,2.29799e+00,1.78460e+00,2.49434e+00,3.74712e-01,1.34960e+00,2.87868e+00,2.15239e+00,1.11960e+00,2.91958e+00,2.46640e+00
924,1.34806e+00,1.59337e-01,1.62569e+00,5.05076e-02,2.20553e+00,2.57548e+00,6.45958e-01,2.11773e+00,1.63446e+00,2.65420e+00,1.51878e+00,5.11566e-01,9.58000e-01
925,1.33706e+00,1.59193e-01,1.99282e+00,1.42316e+00,1.25924e-01,1.07649e+00,1.76506e+00,2.60829e+00,1.62878e+00,1.54151e+00,2.97182e+00,2.73298e+00,2.91689e+00
926,1.49387e+00,1.02811e-01,1.17121e+00,1.95958e-01,2.03549e+00,1.74696e+00,2.58741e+00,2.90390e+00,1.52960e+00,1.33601e+00,1.60731e+00,1.83203e+00,2.36930e+00
927,1.40317e+00,1.02922e-01,1.37546e+00,1.47362e+00,2.96173e+00,1.68294e+00,3.24812e+00,2.30947e+00,3.20669e+00,1.73523e+00,1.99634e+00,1.42119e-01,7.00352e-01
928,1.27459e+00,1.21485e-01,2.94700e+00,3.14654e+00,2.34003e+00,3.35393e+00,3.08820e+00,2.45912e+00,7.53479e-01,3.18793e+00,3.29194e+00,2.06057e+00,3.14459e+00
929,1.32689e+00,1.55472e-01,7.81549e-01,2.42685e+00,2.26220e+00,1.28048e+00,3.10297e+00,8.02158e-01,5.15136e-01,2.15936e+00,1.43728e-01,2.68280e+00,8.79768e-01
930,1.34785e+00,1.34479e-01,2.54883e+00,2.35565e+00,2.05355e+00,2.23794e+00,1.85152e+00,3.11366e+00,5.48791e-01,2.67304e+00,5.76594e-01,2.33796e+00,1.07892e+00
931,1.33856e+00,1.57460e-01,1.81981e+00,9.75327e-01,1.72622e+00,9.56682e-01,1.44706e+00,1.61377e+00,1.27286e+00,1.86891e+00,3.13154e+00,2.26220e+00,2.45314e+00
932,1.30725e+00,1.37637e-01,2.11487e+00,1.49329e+00,2.50840e+00,1.07639e+00,2.45653e+00,2.25600e+00,5.31886e-01,1.19867e+00,2.43375e+00,4.94757e-02,3.11175e-03
933,1.21647e+00,1.88562e-01,1.31185e+00,5.62928e-01,2.91461e+00,2.90875e-01,1.77229e+00,2.13355e+00,6.43150e-01,6.05040e-01,2.73023e-02,2.19507e+00,1.90557e+00
934,1.19498e+00,6.13676e-02,2.50989e+00,7.19662e-01,2.36751e+00,2.20166e+00,1.55061e+00,9.96175e-01,2.52729e+00,2.91001e+00,9.58103e-01,3.25649e+00,2.95911e+00
935,1.40070e+00,1.64766e-01,2.39317e+00,1.42802e-01,2.44206e+00,1.18307e+00,7.29775e-02,1.68649e-01,2.02271e+00,2.18168e+00,3.21759e+00,2.44902e+00,2.12033e+00
936,1.26379e+00,6.96152e-02,5.91089e-01,5.05442e-01,2.28293e+00,2.06572e+00,3.44355e-01,3.35573e+00,2.27388e+00,2.22809e-01,1.31708e+00,3.11412e+00,1.92322e+00
937,1.36628e+00,1.13486e-01,3.13426e+00,9.15505e-01,3.29697e+00,3.11765e+00,2.26506e+00,1.39633e+00,2.79444e+00,7.82035e-01,3.10487e+00,4.04504e-01,3.18826e+00
938,1.27834e+00,1.24798e-01,2.25164e+00,7.13557e-01,9.45116e-01,1.48870e+00,2.07480e+00,3.25424e+00,2.41801e+00,1.12546e-01,7.14570e-01,1.82822e+00,1.78964e+00
939,1.31450e+00,1.21700e-01,3.23121e+00,3.44465e-01,3.08275e-01,2.69869e+00,2.31372e+00,6.62956e-01,1.07788e+00,7.71252e-01,2.92280e+00,3.02428e+00,7.47221e-01
940,1.39624e+00,4.95962e-02,1.33114e+00,1.14978e+00,2.39218e+00,2.57289e+00,3.27646e+00,3.27983e+00,2.18435e+00,2.95580e-01,1.93782e+00,9.00297e-01,3.32404e-01
941,1.46428e+00,7.47187e-02,4.36651e-01,3.12818e+00,2.18639e-01,4.96270e-01,5.46412e-01,6.18733e-01,1.91755e+00,7.63054e-02,6.85715e-01,6.14928e-02,1.81300e+00
942,1.76185e+00,2.96414e-02,1.96423e+00,2.36163e+00,2.76308e+00,1.84253e+00,2.52626e+00,2.64174e-01,3.25773e+00,1.59977e+00,2.28913e+00,2.20548e+00,2.10719e+00
