,alpha_gluon,beta_gluon,alpha_up,beta_up,epsilon_up,gamma_up,alpha_down,beta_down,epsilon_down,gamma_down,norm_sigma,alpha_sigma,beta_sigma
29,1.17157e+00,1.97092e-01,7.62538e-01,3.29413e+00,1.80277e+00,2.11227e+00,1.02563e+00,2.06704e+00,1.95073e+00,1.72529e+00,3.11230e+00,2.77490e+00,2.74383e+00
30,1.28047e+00,1.48140e-01,1.07699e+00,3.14807e+00,1.35906e+00,3.08775e+00,4.12406e-01,1.78784e+00,4.62516e-01,2.31099e+00,9.45874e-01,3.33067e+00,5.42215e-02
31,1.07644e+00,1.17374e-01,2.80612e+00,2.68581e+00,2.47377e+00,2.90558e+00,1.71925e+00,3.14826e+00,1.64652e+00,2.30785e+00,1.35812e+00,6.99504e-01,2.07938e+00
32,1.42034e+00,1.31875e-01,6.61918e-01,1.02779e-01,1.51700e-01,2.87754e+00,3.06717e+00,1.41514e+00,2.22756e+00,8.23901e-01,1.90295e+00,6.69119e-01,2.32617e+00
33,1.28970e+00,1.15931e-01,2.00165e+00,2.92754e+00,1.37006e+00,4.63291e-01,1.33373e+00,1.23809e+00,5.02113e-01,2.64427e+00,2.76368e+00,1.93593e+00,3.98699e-01
34,1.45977e+00,8.06900e-02,2.71093e+00,5.11646e-01,2.01238e+00,2.01602e+00,2.50676e+00,2.24443e+00,2.40371e+00,2.79252e+00,2.41523e+00,2.48228e+00,2.72183e+00
35,1.43723e+00,1.37834e-01,2.39988e+00,2.88717e+00,3.08918e+00,4.55405e-01,2.26284e+00,8.38977e-01,2.69902e+00,2.91574e+00,2.59578e+00,2.20111e+00,2.76977e+00
36,1.45048e+00,9.28127e-02,1.65858e+00,1.86333e+00,7.40029e-01,1.68307e+00,2.30462e+00,8.14838e-01,2.79334e+00,3.54007e-01,6.68673e-01,1.56798e+00,1.55344e+00
37,1.30926e+00,1.30895e-01,2.21259e-01,9.66873e-01,9.10089e-01,1.33298e+00,8.31220e-01,8.71795e-01,2.65272e+00,2.70867e+00,1.77176e+00,2.63581e+00,3.17344e+00
38,1.37892e+00,1.19354e-01,2.30993e+00,5.42442e-01,1.95810e+00,6.57333e-01,3.34214e+00,1.15936e-01,1.30710e+00,3.10136e+00,2.58409e+00,2.64322e+00,6.65393e-01
39,1.51961e+00,1.23319e-01,1.15536e+00,1.12772e+00,2.98739e+00,3.38905e+00,6.71237e-01,5.77136e-01,5.98831e-01,2.41601e+00,1.62198e+00,2.49618e+00,3.15391e+00
40,1.46055e+00,1.41168e-01,2.11025e+00,1.80807e+00,2.02302e+00,2.65656e+00,1.34576e+00,2.35018e+00,7.78518e-01,1.42891e+00,7.79889e-01,6.93512e-01,7.73983e-01
41,1.27157e+00,1.47280e-01,9.53403e-01,1.10183e+00,1.70833e+00,8.40966e-02,1.25182e+00,2.86756e-01,9.37757e-01,4.03619e-01,1.22025e+00,2.15616e+00,3.18423e+00
42,1.50530e+00,5.28279e-02,2.87261e+00,5.78534e-02,2.78034e+00,1.45159e+00,2.81016e+00,6.01125e-01,2.84150e+00,9.53596e-01,1.45137e+00,2.79773e+00,1.77812e+00
43,1.35403e+00,1.26255e-01,2.22249e+00,2.91386e+00,2.93004e+00,2.94723e+00,2.41611e+00,2.26226e+00,1.28787e+00,1.72375e+00,1.31259e+00,2.11552e+00,1.19235e+00
44,1.54043e+00,5.61028e-02,8.06213e-01,1.12775e+00,1.67501e+00,2.56759e+00,3.17434e+00,1.91908e+00,1.37153e+00,3.04193e+00,1.66872e+00,2.90771e+00,2.51590e+00
45,1.31388e+00,1.51376e-01,1.94677e-01,2.27222e+00,8.19091e-02,3.05752e+00,5.40058e-01,2.84529e+00,2.67056e+00,2.61021e+00,1.08542e+00,8.87616e-01,1.99707e+00
46,1.31963e+00,1.41027e-01,3.26858e+00,7.47308e-01,1.87147e+00,1.17285e+00,2.35053e+00,2.10257e+00,2.47695e+00,2.34625e+00,9.55356e-01,2.24982e+00,1.68662e+00
47,1.34637e+00,1.26058e-01,2.52548e+00,9.32047e-02,2.41519e+00,2.42273e+00,2.84761e+00,2.08383e-01,3.32800e-01,8.05077e-02,3.19634e+00,1.95434e+00,1.70256e+00
48,1.10019e+00,1.24708e-01,2.32900e+00,1.15002e+00,6.80275e-01,1.08859e+00,2.00966e+00,2.53772e-01,3.40916e-01,4.22274e-01,3.45778e-01,1.57125e-01,7.66490e-01
49,1.55923e+00,1.32216e-01,2.88678e+00,2.81124e+00,1.31958e+00,1.13720e+00,3.25206e+00,1.89360e+00,2.03520e+00,4.18133e-01,1.04211e+00,1.84632e+00,3.03454e-01
50,1.34313e+00,1.20418e-01,7.89928e-01,2.73380e-01,2.06459e+00,8.82298e-01,2.52071e+00,1.70647e+00,8.99894e-01,1.03262e+00,1.85394e+00,1.41919e+00,1.64532e+00
51,1.42278e+00,1.27853e-01,2.17163e+00,1.73363e-01,1.84148e+00,2.56668e+00,2.47720e+00,2.93902e+00,2.96584e+00,1.67900e+00,2.58480e+00,3.53386e-01,1.13600e+00
52,1.46259e+00,8.56858e-02,1.06286e-01,2.81952e+00,3.13547e+00,2.32662e+00,2.85076e+00,2.30244e+00,3.67771e-01,1.96062e+00,7.41333e-01,7.70444e-01,2.87501e+00
53,1.34533e+00,1.19987e-01,2.20760e+00,3.04146e+00,1.77038e-01,2.58924e-01,3.00739e+00,1.91735e+00,4.00875e-01,2.26073e+00,1.40408e+00,2.06047e-01,1.80813e+00
54,1.14441e+00,1.25646e-01,2.99876e+00,2.75538e+00,2.65882e+00,9.25355e-01,2.17310e+00,6.36461e-01,7.95454e-01,3.30419e+00,2.83514e+00,2.39803e+00,3.08097e+00
55,1.47222e+00,8.08885e-02,3.10950e+00,9.31192e-01,2.06720e+00,5.14957e-01,4.13901e-01,2.21786e+00,3.22069e+00,2.79467e+00,2.29915e-01,2.91458e+00,2.87746e+00
56,1.33510e+00,7.96821e-02,2.88760e-01,1.52651e+00,2.19212e+00,7.10293e-01,1.71908e+00,2.57352e+00,9.28492e-01,1.66604e+00,2.23222e+00,1.94903e+00,2.31948e+00
57,1.78634e+00,4.13820e-02,2.34934e+00,1.90030e+00,9.37453e-01,2.79217e-01,4.15596e-01,1.51669e+00,3.00786e+00,4.49438e-01,8.93436e-01,3.31528e+00,1.99959e+00
58,1.26867e+00,1.21745e-01,6.50222e-01,3.23187e+00,1.20219e+00,3.88822e-01,1.15281e+00,6.96623e-01,7.07089e-01,1.04328e-02,1.86294e+00,2.88164e+00,2.01637e+00
59,1.45220e+00,7.42185e-02,1.42482e+00,3.17335e+00,3.31563e+00,4.55069e-01,6.66322e-01,2.38315e+00,1.77802e+00,2.45057e+00,1.52908e+00,1.65535e+00,9.00860e-01
60,1.27732e+00,1.29578e-01,8.47859e-01,1.39455e+00,2.39459e+00,2.93107e+00,8.84127e-01,5.49595e-01,1.16571e+00,2.57635e-01,8.35790e-01,1.94891e+00,9.43507e-01
61,1.33250e+00,1.35722e-01,2.04831e+00,2.18870e+00,5.15839e-01,2.30835e+00,2.33274e+00,1.11278e+00,2.52980e-01,1.54699e+00,2.01870e+00,4.66301e-01,2.35700e+00
62,1.45803e+00,5.87772e-02,2.04261e+00,2.71570e+00,2.29718e+00,9.59104e-01,1.07256e+00,1.05168e+00,3.44010e-01,1.04281e+00,6.96487e-01,2.15380e+00,2.63779e-01
63,1.41931e+00,1.36037e-01,1.98797e-01,2.45249e+00,2.94561e+00,1.45227e+00,2.58165e+00,2.90919e+00,2.45999e+00,3.05469e+00,3.32076e+00,5.00488e-01,3.10576e+00
64,1.34824e+00,7.52911e-02,2.42580e+00,3.64787e-01,1.76768e+00,2.42872e+00,8.06678e-01,7.50660e-01,3.27697e+00,2.58407e+00,9.59912e-01,1.65539e+00,1.48421e+00
65,1.33406e+00,9.69874e-02,1.52001e+00,1.83766e+00,7.46927e-01,1.92489e+00,2.35004e-01,2.84044e+00,1.87104e-01,1.61981e+00,3.23001e+00,2.18194e+00,2.74975e+00
66,1.24077e+00,1.03705e-01,3.21873e-01,2.37071e+00,1.16423e+00,4.77526e-01,2.52328e+00,2.22528e+00,2.44343e+00,2.80112e+00,1.59815e-01,7.58048e-02,1.24697e+00
67,1.39724e+00,7.33139e-02,7.57723e-02,3.06307e+00,1.79168e+00,2.56179e+00,2.38516e+00,2.36344e+00,1.39142e+00,1.49924e+00,3.23803e+00,7.36119e-01,1.04543e+00
68,1.24787e+00,2.37398e-01,2.23552e+00,1.77377e+00,4.59805e-01,2.95338e-01,2.30400e+00,2.90677e+00,4.03877e-01,5.67255e-01,3.22687e+00,1.69411e+00,2.30318e+00
69,1.13440e+00,1.29360e-01,2.17551e+00,9.96306e-01,2.91014e-01,1.28008e+00,1.23508e+00,1.19186e-01,2.76170e+00,2.16336e+00,1.33660e+00,3.04242e-01,1.21697e+00
70,1.40959e+00,1.50117e-01,2.70705e+00,3.15339e+00,3.30859e-02,8.10259e-02,7.51883e-01,5.76358e-01,1.07635e+00,1.21612e+00,1.34137e+00,3.03667e+00,1.16424e+00
71,1.35295e+00,9.68694e-02,1.88963e-01,2.20761e+00,2.05127e+00,3.15922e+00,1.65358e+00,4.95313e-01,6.20357e-01,1.04934e+00,5.57602e-01,1.59109e+00,7.05243e-01
72,1.29230e+00,1.61758e-01,2.95575e+00,2.28335e+00,1.91018e+00,4.15727e-01,2.72925e+00,2.28110e+00,2.04133e+00,2.09355e+00,1.22932e+00,2.48366e+00,1.62371e+00
73,1.11859e+00,1.81294e-01,3.37423e-01,8.80705e-01,2.86989e+00,3.09399e+00,4.82108e-01,3.33486e+00,2.94401e-01,1.43431e+00,1.18045e+00,4.69425e-02,1.47537e+00
74,1.28593e+00,1.50071e-01,1.50191e+00,1.67068e-01,1.27326e+00,1.36600e+00,1.80670e+00,1.91759e+00,3.06323e+00,2.89386e+00,1.45501e+00,6.23450e-01,2.91707e-01
75,1.28047e+00,1.48140e-01,1.07699e+00,3.14807e+00,1.35906e+00,3.08775e+00,4.12406e-01,1.78784e+00,4.62516e-01,2.31099e+00,9.45874e-01,3.33067e+00,5.42215e-02
76,1.48771e+00,9.53823e-02,1.47924e+00,2.85782e+00,2.14961e+00,2.09695e+00,7.42100e-01,2.90136e+00,2.48223e-01,1.52198e+00,7.48610e-01,2.68507e+00,1.82953e+00
77,1.34085e+00,1.20509e-01,5.50856e-01,8.45470e-01,3.01191e+00,7.69653e-01,1.17338e+00,1.48964e+00,3.35170e+00,1.13401e+00,2.10075e+00,2.46971e+00,6.14106e-01
78,1.28335e+00,1.18291e-01,1.77064e+00,2.18433e+00,7.24764e-01,1.87495e-01,9.76610e-01,1.79611e+00,9.83255e-01,2.06419e+00,4.78887e-01,3.89538e-01,1.53435e+00
79,1.23674e+00,1.54962e-01,2.13257e+00,1.88459e+00,2.46836e+00,2.92001e+00,1.26266e+00,1.09209e+00,2.42813e+00,2.36474e+00,3.22774e+00,5.94329e-01,4.84042e-01
